"","storm","Ind_Var","NLCD_Class","T_Stat","p_val","R2","N"
"54","al022015","ant_SM","Grassland/Herbaceous",8.81232247167168,7.96847477764826e-18,0.0910765112516136,777
"55","al022015","ant_SM","Developed, Low Intensity",-2.14600952108851,0.0354982404963852,0.0643158147135656,69
"56","al022015","ant_SM","Developed, Open Space",-3.27434814637908,0.00230232697464643,0.224665783434406,39
"57","al022015","ant_SM","Deciduous Forest",0.391474523842221,0.69572077021242,0.000503865408826582,306
"58","al022015","ant_SM","Woody Wetlands",0.719769320447918,0.472730387983378,0.00326819448157606,160
"59","al022015","ant_SM","Emergent Herbaceous Wetlands",-4.07859684761484,0.000122741237426256,0.198899524645737,69
"60","al022015","ant_SM","Mixed Forest",-2.3275697926864,0.0211131644770648,0.030883912003711,172
"61","al022015","ppt_mm","Shrub/Scrub",14.9170176212084,8.08699156548168e-45,0.209227805425092,843
"62","al022015","ppt_mm","Cultivated Crops",12.8479194906791,2.92648197808855e-31,0.318623627375897,355
"63","al022015","ppt_mm","Evergreen Forest",9.4399701099251,3.92169955528445e-20,0.0997780035858525,806
"64","al022015","ppt_mm","Pasture/Hay",26.840047002446,1.59178766151918e-125,0.367097677883358,1244
"65","al022015","ppt_mm","Developed, Medium Intensity",2.10493592444076,0.0398792312888136,0.0745532380946711,57
"66","al022015","ppt_mm","Grassland/Herbaceous",5.4448702524684,6.9632643237961e-08,0.0368442638316554,777
"67","al022015","ppt_mm","Developed, Low Intensity",1.05633984324932,0.294607071524501,0.0163817055961269,69
"68","al022015","ppt_mm","Developed, Open Space",0.375653720974509,0.709319515869303,0.00379944746822164,39
"69","al022015","ppt_mm","Deciduous Forest",12.1897584143678,4.25351180632418e-28,0.328310703262393,306
"70","al022015","ppt_mm","Woody Wetlands",8.69782174301849,4.15150472806275e-15,0.323780963570372,160
"71","al022015","ppt_mm","Emergent Herbaceous Wetlands",4.92124120331736,5.88819002705809e-06,0.265500797027146,69
"72","al022015","ppt_mm","Mixed Forest",12.7476153877058,1.4949322575699e-26,0.488724415588574,172
"73","al022015","yDay","Shrub/Scrub",NA,NA,0,843
"74","al022015","yDay","Cultivated Crops",NA,NA,0,355
"75","al022015","yDay","Evergreen Forest",NA,NA,0,806
"76","al022015","yDay","Pasture/Hay",NA,NA,0,1244
"77","al022015","yDay","Developed, Medium Intensity",NA,NA,0,57
"78","al022015","yDay","Grassland/Herbaceous",NA,NA,0,777
"79","al022015","yDay","Developed, Low Intensity",NA,NA,0,69
"80","al022015","yDay","Developed, Open Space",NA,NA,0,39
"81","al022015","yDay","Deciduous Forest",NA,NA,0,306
"82","al022015","yDay","Woody Wetlands",NA,NA,0,160
"83","al022015","yDay","Emergent Herbaceous Wetlands",NA,NA,0,69
"84","al022015","yDay","Mixed Forest",NA,NA,0,172
"85","al022015","Mean_Slope","Shrub/Scrub",-1.25050446934783,0.211463133835007,0.00185595618924894,843
"86","al022015","Mean_Slope","Cultivated Crops",0.304251406287814,0.761115638514188,0.00026216614671816,355
"87","al022015","Mean_Slope","Evergreen Forest",2.51458275555339,0.0121114643854769,0.00780321606067036,806
"88","al022015","Mean_Slope","Pasture/Hay",-18.5425597303994,5.97356636548379e-68,0.216812190189352,1244
"89","al022015","Mean_Slope","Developed, Medium Intensity",3.46180227363336,0.00104549934613803,0.178909315161868,57
"90","al022015","Mean_Slope","Grassland/Herbaceous",3.71868490746682,0.000214698546404216,0.0175305727191818,777
"91","al022015","Mean_Slope","Developed, Low Intensity",-0.866850528276113,0.389117819474631,0.0110909812555275,69
"92","al022015","Mean_Slope","Developed, Open Space",3.73197024876917,0.000636315039292124,0.273478455842794,39
"93","al022015","Mean_Slope","Deciduous Forest",-8.16230457025314,8.82213707497805e-15,0.179759963865802,306
"94","al022015","Mean_Slope","Woody Wetlands",-5.94187536136529,1.73887111966526e-08,0.182642567814152,160
"95","al022015","Mean_Slope","Emergent Herbaceous Wetlands",2.14130163655505,0.0358905465429848,0.0640519890621952,69
"96","al022015","Mean_Slope","Mixed Forest",-3.72671352307788,0.000263818674809865,0.0755262113335248,172
"97","al022016","ant_SM","Cultivated Crops",-5.43587562982751,7.64411456668285e-08,0.0422397211376332,672
"98","al022016","ant_SM","Developed, Low Intensity",-4.77085586164683,1.8173535826068e-05,0.326271759751399,49
"99","al022016","ant_SM","Evergreen Forest",-23.1384665834277,3.47006234538337e-98,0.309224991288568,1198
"100","al022016","ant_SM","Deciduous Forest",-2.86795312567066,0.00443665612326553,0.0277665653593986,290
"101","al022016","ant_SM","Developed, Open Space",-11.2669578648974,9.42822137338546e-19,0.590591684374298,90
"102","al022016","ant_SM","Woody Wetlands",-6.18675998732678,8.9488805852648e-10,0.0369361050265794,1000
"103","al022016","ant_SM","Pasture/Hay",-22.432875118969,2.01722731195929e-55,0.7248765814759,193
"104","al022016","ant_SM","Mixed Forest",-4.13278935938856,5.74947535948526e-05,0.0959116851253475,163
"105","al022016","ant_SM","Emergent Herbaceous Wetlands",1.43216915910411,0.157372325209883,0.0335965808103099,61
"106","al022016","ppt_mm","Cultivated Crops",14.8409641234867,2.74124019518522e-43,0.247405979244766,672
"107","al022016","ppt_mm","Developed, Low Intensity",2.03284594059507,0.0477384754438044,0.0808187676985355,49
"108","al022016","ppt_mm","Evergreen Forest",20.8693985002462,9.99754533791558e-83,0.266946556253008,1198
"109","al022016","ppt_mm","Deciduous Forest",7.67912306703851,2.51387113791e-13,0.169954499659059,290
"110","al022016","ppt_mm","Developed, Open Space",10.1691095524531,1.61757646467618e-16,0.540255800530039,90
"111","al022016","ppt_mm","Woody Wetlands",8.33217504364183,2.60259446758585e-16,0.0650398218048218,1000
"112","al022016","ppt_mm","Pasture/Hay",14.2854274398555,5.73024135645682e-32,0.516545578505654,193
"113","al022016","ppt_mm","Mixed Forest",2.23479632677614,0.0268068985069156,0.0300872631303062,163
"114","al022016","ppt_mm","Emergent Herbaceous Wetlands",-0.992518766384059,0.324997722224,0.0164223050114586,61
"115","al022016","yDay","Cultivated Crops",NA,NA,0,672
"116","al022016","yDay","Developed, Low Intensity",NA,NA,0,49
"117","al022016","yDay","Evergreen Forest",NA,NA,0,1198
"118","al022016","yDay","Deciduous Forest",NA,NA,0,290
"119","al022016","yDay","Developed, Open Space",NA,NA,0,90
"120","al022016","yDay","Woody Wetlands",NA,NA,0,1000
"121","al022016","yDay","Pasture/Hay",NA,NA,0,193
"122","al022016","yDay","Mixed Forest",NA,NA,0,163
"123","al022016","yDay","Emergent Herbaceous Wetlands",NA,NA,0,61
"124","al022016","Mean_Slope","Cultivated Crops",5.26552145733671,1.88537996823648e-07,0.0397372714997129,672
"125","al022016","Mean_Slope","Developed, Low Intensity",-2.03475070855091,0.0475388064986811,0.0809580251986713,49
"126","al022016","Mean_Slope","Evergreen Forest",-15.7459828352693,6.56803650843e-51,0.171708427287829,1198
"127","al022016","Mean_Slope","Deciduous Forest",-1.63093334802621,0.103997423911906,0.00915139373141615,290
"128","al022016","Mean_Slope","Developed, Open Space",-5.70453875135014,1.5409604911557e-07,0.26996255676885,90
"129","al022016","Mean_Slope","Woody Wetlands",1.25506567500906,0.209748725829516,0.00157585928960937,1000
"130","al022016","Mean_Slope","Pasture/Hay",-12.9062770929411,8.25402145078697e-28,0.465841827110753,193
"131","al022016","Mean_Slope","Mixed Forest",-2.22750855450458,0.0272996848816281,0.029897208447966,163
"132","al022016","Mean_Slope","Emergent Herbaceous Wetlands",0.00447616181714987,0.99644365224027,3.39593522189793e-07,61
"133","al022019","ant_SM","Woody Wetlands",5.85158306329362,7.74803169662755e-09,0.0504107130154011,647
"134","al022019","ant_SM","Pasture/Hay",2.06079037115073,0.0407072884275494,0.0222061529348578,189
"135","al022019","ant_SM","Evergreen Forest",3.43645749705898,0.000611889390323993,0.0108559843890381,1078
"136","al022019","ant_SM","Emergent Herbaceous Wetlands",0.150389118712836,0.880666625784147,0.000155954205714285,147
"137","al022019","ant_SM","Developed, Low Intensity",-0.427226841202582,0.67175864768889,0.00504450104225125,38
"138","al022019","ant_SM","Mixed Forest",1.50995980668742,0.133895117379003,0.0201269336879361,113
"139","al022019","ant_SM","Cultivated Crops",9.20917502951955,4.49364584593191e-19,0.115731269335804,650
"140","al022019","ant_SM","Deciduous Forest",-5.32141226689922,4.75062505314074e-07,0.188384199983906,124
"141","al022019","ppt_mm","Woody Wetlands",13.2601349777787,1.16221199245885e-35,0.214211136214881,647
"142","al022019","ppt_mm","Pasture/Hay",6.88549758528198,8.47738655477659e-11,0.202252725669068,189
"143","al022019","ppt_mm","Evergreen Forest",11.5943825741324,2.25683281620114e-29,0.111059491077713,1078
"144","al022019","ppt_mm","Emergent Herbaceous Wetlands",6.53044636116926,1.03434204238328e-09,0.227271371847088,147
"145","al022019","ppt_mm","Developed, Low Intensity",5.34557695953389,5.20786510230099e-06,0.442510377272767,38
"146","al022019","ppt_mm","Mixed Forest",4.56799989528109,1.28258820170062e-05,0.158240368652181,113
"147","al022019","ppt_mm","Cultivated Crops",15.5683312722147,1.16345616753075e-46,0.272215077630428,650
"148","al022019","ppt_mm","Deciduous Forest",4.04522298985445,9.20345272796498e-05,0.118266668040783,124
"149","al022019","yDay","Woody Wetlands",NA,NA,0,647
"150","al022019","yDay","Pasture/Hay",NA,NA,0,189
"151","al022019","yDay","Evergreen Forest",NA,NA,0,1078
"152","al022019","yDay","Emergent Herbaceous Wetlands",NA,NA,0,147
"153","al022019","yDay","Developed, Low Intensity",NA,NA,0,38
"154","al022019","yDay","Mixed Forest",NA,NA,0,113
"155","al022019","yDay","Cultivated Crops",NA,NA,0,650
"156","al022019","yDay","Deciduous Forest",NA,NA,0,124
"157","al022019","Mean_Slope","Woody Wetlands",6.37097523769976,3.57346363079868e-10,0.0592035552055924,647
"158","al022019","Mean_Slope","Pasture/Hay",3.45832015887951,0.000673031673035013,0.0601124830341381,189
"159","al022019","Mean_Slope","Evergreen Forest",8.74269105241619,8.61048585678682e-18,0.0663244957514219,1078
"160","al022019","Mean_Slope","Emergent Herbaceous Wetlands",3.39095367446798,0.000897675635629914,0.0734739432817793,147
"161","al022019","Mean_Slope","Developed, Low Intensity",0.775007697737078,0.443396159189296,0.0164105595395785,38
"162","al022019","Mean_Slope","Mixed Forest",-0.913404941597249,0.363009339912671,0.00746022037309547,113
"163","al022019","Mean_Slope","Cultivated Crops",-8.9603184134089,3.41815533574901e-18,0.110241254242036,650
"164","al022019","Mean_Slope","Deciduous Forest",-0.763139295262946,0.446853482269339,0.004750940359039,124
"165","al022020","ant_SM","Evergreen Forest",-9.6891509629205,5.56960739773201e-20,0.198527568484885,381
"166","al022020","ant_SM","Developed, Open Space",-12.4374888518148,2.94894492609549e-18,0.720528741469133,62
"167","al022020","ant_SM","Developed, Low Intensity",-0.402102983579452,0.690894827670196,0.00618028992478342,28
"168","al022020","ant_SM","Deciduous Forest",3.00704660692765,0.0029391078817091,0.0388012311906683,226
"169","al022020","ant_SM","Pasture/Hay",-7.67625403798088,2.68648724610424e-11,0.412278657724271,86
"170","al022020","ant_SM","Mixed Forest",1.54618670340148,0.132903841563729,0.0761593029268051,31
"171","al022020","ant_SM","Woody Wetlands",-2.57122796568802,0.0105206487578987,0.0174157480620982,375
"172","al022020","ant_SM","Cultivated Crops",-0.971030641771148,0.332402094675843,0.00348007091344041,272
"173","al022020","ppt_mm","Evergreen Forest",4.50204110140835,8.97016251277572e-06,0.0507637854501628,381
"174","al022020","ppt_mm","Developed, Open Space",5.59200889712202,5.83054363645572e-07,0.342613897673703,62
"175","al022020","ppt_mm","Developed, Low Intensity",2.78632453983095,0.00982179620098251,0.229940036608646,28
"176","al022020","ppt_mm","Deciduous Forest",6.60301590461068,2.88621090992837e-10,0.162929179823503,226
"177","al022020","ppt_mm","Pasture/Hay",3.01157918112265,0.00343266918002874,0.0974497394544003,86
"178","al022020","ppt_mm","Mixed Forest",1.67699647962137,0.104291652354046,0.0884034060024752,31
"179","al022020","ppt_mm","Woody Wetlands",11.6043853629285,8.60737401798109e-27,0.265258820644343,375
"180","al022020","ppt_mm","Cultivated Crops",14.5443344202779,8.73947706061258e-36,0.439296195630468,272
"181","al022020","yDay","Evergreen Forest",NA,NA,0,381
"182","al022020","yDay","Developed, Open Space",NA,NA,0,62
"183","al022020","yDay","Developed, Low Intensity",NA,NA,0,28
"184","al022020","yDay","Deciduous Forest",NA,NA,0,226
"185","al022020","yDay","Pasture/Hay",NA,NA,0,86
"186","al022020","yDay","Mixed Forest",NA,NA,0,31
"187","al022020","yDay","Woody Wetlands",NA,NA,0,375
"188","al022020","yDay","Cultivated Crops",NA,NA,0,272
"189","al022020","Mean_Slope","Evergreen Forest",-11.8497622373182,9.01981246380019e-28,0.270335590776558,381
"190","al022020","Mean_Slope","Developed, Open Space",-11.967319660775,1.54846933305737e-17,0.70474873260737,62
"191","al022020","Mean_Slope","Developed, Low Intensity",-7.05047762259911,1.73605574124397e-07,0.656580863606659,28
"192","al022020","Mean_Slope","Deciduous Forest",-8.89913228138133,1.93887302129874e-16,0.261200453507792,226
"193","al022020","Mean_Slope","Pasture/Hay",-3.48687633399899,0.000779922326315152,0.12644052295085,86
"194","al022020","Mean_Slope","Mixed Forest",-4.45976514196801,0.000113470137588863,0.406825658637337,31
"195","al022020","Mean_Slope","Woody Wetlands",-1.54295655394246,0.123689256832446,0.00634213435235936,375
"196","al022020","Mean_Slope","Cultivated Crops",-3.50094208425782,0.00054225199614,0.0434235928361577,272
"197","al032016","ant_SM","Emergent Herbaceous Wetlands",-1.44813873131536,0.152042710003628,0.0290872395264447,72
"198","al032016","ant_SM","Evergreen Forest",-14.2931694270556,3.8687100614755e-41,0.214980357074708,748
"199","al032016","ant_SM","Woody Wetlands",-8.75160551179604,1.04714628947778e-17,0.0794845851660167,889
"200","al032016","ant_SM","Developed, Low Intensity",-2.65198674203566,0.0110847839846277,0.137813356815949,46
"201","al032016","ant_SM","Cultivated Crops",-6.39583092360402,5.11532454957549e-10,0.104645579368156,352
"202","al032016","ant_SM","Developed, Open Space",-2.39990049619051,0.0196309060737534,0.0903319563192467,60
"203","al032016","ant_SM","Pasture/Hay",1.55819832467142,0.12063015363461,0.0109651092733184,221
"204","al032016","ppt_mm","Emergent Herbaceous Wetlands",3.4391010086652,0.000987192603537819,0.144540990812357,72
"205","al032016","ppt_mm","Evergreen Forest",14.9729523594042,1.6434249236525e-44,0.231077895635768,748
"206","al032016","ppt_mm","Woody Wetlands",12.2600282483323,4.93714252840129e-32,0.144902237565197,889
"207","al032016","ppt_mm","Developed, Low Intensity",3.59519670773068,0.000814874663444618,0.227059105927735,46
"208","al032016","ppt_mm","Cultivated Crops",17.1385101631932,3.07214194652827e-48,0.456292546694753,352
"209","al032016","ppt_mm","Developed, Open Space",5.61323772848758,5.86099464644118e-07,0.352016397249006,60
"210","al032016","ppt_mm","Pasture/Hay",4.38095133812131,1.83223410465235e-05,0.0805764905342012,221
"211","al032016","yDay","Emergent Herbaceous Wetlands",NA,NA,0,72
"212","al032016","yDay","Evergreen Forest",NA,NA,0,748
"213","al032016","yDay","Woody Wetlands",NA,NA,0,889
"214","al032016","yDay","Developed, Low Intensity",NA,NA,0,46
"215","al032016","yDay","Cultivated Crops",NA,NA,0,352
"216","al032016","yDay","Developed, Open Space",NA,NA,0,60
"217","al032016","yDay","Pasture/Hay",NA,NA,0,221
"218","al032016","Mean_Slope","Emergent Herbaceous Wetlands",-0.436950818005647,0.663492003944197,0.00272009543382567,72
"219","al032016","Mean_Slope","Evergreen Forest",-8.89210905869662,4.46625626356397e-18,0.0958338583499002,748
"220","al032016","Mean_Slope","Woody Wetlands",-7.66119868104735,4.82022997397802e-14,0.0620644388020147,889
"221","al032016","Mean_Slope","Developed, Low Intensity",0.544058487254075,0.589147733323473,0.00668231081757212,46
"222","al032016","Mean_Slope","Cultivated Crops",-2.80887013229284,0.00525064745112699,0.0220452007602361,352
"223","al032016","Mean_Slope","Developed, Open Space",-1.05892218054681,0.294025418863128,0.0189663603048954,60
"224","al032016","Mean_Slope","Pasture/Hay",-2.44796452590234,0.0151532970410321,0.0266343523118357,221
"225","al032017","ant_SM","Grassland/Herbaceous",-1.47176479496665,0.14342907434652,0.015907716716142,136
"226","al032017","ant_SM","Pasture/Hay",-8.26812421173323,5.70423855492043e-16,0.0792728432531465,796
"227","al032017","ant_SM","Cultivated Crops",0.733225224338205,0.463764696676038,0.001074083563256,502
"228","al032017","ant_SM","Developed, Open Space",-2.74268371648471,0.0087807144242219,0.14600108941622,46
"229","al032017","ant_SM","Evergreen Forest",-3.36060448144861,0.000803192249507114,0.00970001198552381,1155
"230","al032017","ant_SM","Mixed Forest",1.5538781053833,0.121922536807981,0.0128834038324674,187
"231","al032017","ant_SM","Developed, Low Intensity",-2.20236381091365,0.0304472326668711,0.0558478256942331,84
"232","al032017","ant_SM","Deciduous Forest",-6.78665942072273,2.96782170437639e-11,0.0770137488896974,554
"233","al032017","ant_SM","Emergent Herbaceous Wetlands",-8.5915390048832,2.74226556348917e-15,0.274592817016215,197
"234","al032017","ant_SM","Developed, Medium Intensity",0.966986956097459,0.339664917383563,0.0240159815509216,40
"235","al032017","ant_SM","Woody Wetlands",-8.55260347867523,1.09996750607267e-16,0.11320492595384,575
"236","al032017","ppt_mm","Grassland/Herbaceous",3.76715151197492,0.000246406811942833,0.0957641778943315,136
"237","al032017","ppt_mm","Pasture/Hay",3.90129839097815,0.0001037826881288,0.0188083916692847,796
"238","al032017","ppt_mm","Cultivated Crops",5.51671589675788,5.55004390156789e-08,0.0573759326009726,502
"239","al032017","ppt_mm","Developed, Open Space",4.03584592922458,0.000213871859762419,0.270170485289159,46
"240","al032017","ppt_mm","Evergreen Forest",-1.0279986845872,0.304166051253691,0.000915709965610788,1155
"241","al032017","ppt_mm","Mixed Forest",4.14356496264919,5.19787015725064e-05,0.0849245903603839,187
"242","al032017","ppt_mm","Developed, Low Intensity",-1.11958364887919,0.266159941521078,0.0150560401118722,84
"243","al032017","ppt_mm","Deciduous Forest",12.219137220455,1.47336938423027e-30,0.212898555802784,554
"244","al032017","ppt_mm","Emergent Herbaceous Wetlands",-3.53262713421464,0.000513615395882659,0.0601479047711238,197
"245","al032017","ppt_mm","Developed, Medium Intensity",-3.19403390925334,0.00281899347221075,0.211648558308968,40
"246","al032017","ppt_mm","Woody Wetlands",-0.550697192591411,0.582055901705634,0.000528982503979978,575
"247","al032017","yDay","Grassland/Herbaceous",NA,NA,0,136
"248","al032017","yDay","Pasture/Hay",NA,NA,0,796
"249","al032017","yDay","Cultivated Crops",NA,NA,0,502
"250","al032017","yDay","Developed, Open Space",NA,NA,0,46
"251","al032017","yDay","Evergreen Forest",NA,NA,0,1155
"252","al032017","yDay","Mixed Forest",NA,NA,0,187
"253","al032017","yDay","Developed, Low Intensity",NA,NA,0,84
"254","al032017","yDay","Deciduous Forest",NA,NA,0,554
"255","al032017","yDay","Emergent Herbaceous Wetlands",NA,NA,0,197
"256","al032017","yDay","Developed, Medium Intensity",NA,NA,0,40
"257","al032017","yDay","Woody Wetlands",NA,NA,0,575
"258","al032017","Mean_Slope","Grassland/Herbaceous",0.24591147805663,0.806127024032231,0.000451083409841606,136
"259","al032017","Mean_Slope","Pasture/Hay",-1.75817630519265,0.0791027691551646,0.0038780806794754,796
"260","al032017","Mean_Slope","Cultivated Crops",-3.29182994479053,0.00106575543576347,0.021212563959147,502
"261","al032017","Mean_Slope","Developed, Open Space",1.16267662287756,0.251228097852555,0.0298073378513321,46
"262","al032017","Mean_Slope","Evergreen Forest",-2.17506009781837,0.0298282934771103,0.00408634379938972,1155
"263","al032017","Mean_Slope","Mixed Forest",-0.565498306217097,0.572420071494726,0.00172560273896644,187
"264","al032017","Mean_Slope","Developed, Low Intensity",0.606071901099109,0.546141107624781,0.00445957371512567,84
"265","al032017","Mean_Slope","Deciduous Forest",0.772864888318051,0.439933149002999,0.00108093201655105,554
"266","al032017","Mean_Slope","Emergent Herbaceous Wetlands",1.83374996719314,0.0682153718571967,0.016951977247898,197
"267","al032017","Mean_Slope","Developed, Medium Intensity",11.7888903774134,2.9119286141149e-14,0.785283969358757,40
"268","al032017","Mean_Slope","Woody Wetlands",5.04687731932762,6.04002133302632e-07,0.0425600771371724,575
"269","al062017","ant_SM","Emergent Herbaceous Wetlands",-1.38417964003022,0.168830264678895,0.0154617159875186,125
"270","al062017","ant_SM","Woody Wetlands",4.3735289234227,1.42965657952707e-05,0.0293763475600065,643
"271","al062017","ant_SM","Evergreen Forest",1.66351740543155,0.09671343372619,0.00443641435169192,624
"272","al062017","ant_SM","Pasture/Hay",-1.96256726629806,0.050788011596775,0.0149375424663359,260
"273","al062017","ant_SM","Developed, Open Space",2.54617867302631,0.013232621119217,0.0894419867312697,69
"274","al062017","ant_SM","Cultivated Crops",-0.177291202299111,0.859511128261038,0.000202747081495798,157
"275","al062017","ant_SM","Developed, Low Intensity",1.48591911150377,0.143115831241007,0.0392819055973483,56
"276","al062017","ppt_mm","Emergent Herbaceous Wetlands",3.71579159816234,0.000307007163707368,0.101667044424571,125
"277","al062017","ppt_mm","Woody Wetlands",-1.19412740856454,0.23287612479554,0.00225115546622862,643
"278","al062017","ppt_mm","Evergreen Forest",-1.73517184337292,0.0832064783852042,0.00482495050267894,624
"279","al062017","ppt_mm","Pasture/Hay",-1.89277343261459,0.0595249022382543,0.0139085147392399,260
"280","al062017","ppt_mm","Developed, Open Space",-2.97147954790894,0.0041315471375854,0.117997156217184,69
"281","al062017","ppt_mm","Cultivated Crops",6.11494605292061,7.53508698645383e-09,0.194355562468864,157
"282","al062017","ppt_mm","Developed, Low Intensity",0.144483422082669,0.885656644466625,0.000386433190488789,56
"283","al062017","yDay","Emergent Herbaceous Wetlands",NA,NA,0,125
"284","al062017","yDay","Woody Wetlands",NA,NA,0,643
"285","al062017","yDay","Evergreen Forest",NA,NA,0,624
"286","al062017","yDay","Pasture/Hay",NA,NA,0,260
"287","al062017","yDay","Developed, Open Space",NA,NA,0,69
"288","al062017","yDay","Cultivated Crops",NA,NA,0,157
"289","al062017","yDay","Developed, Low Intensity",NA,NA,0,56
"290","al062017","Mean_Slope","Emergent Herbaceous Wetlands",1.03852823409958,0.301078108321725,0.0087630295679199,125
"291","al062017","Mean_Slope","Woody Wetlands",1.95885125068797,0.0505695429005927,0.00603471900750939,643
"292","al062017","Mean_Slope","Evergreen Forest",5.78393586635764,1.156990029695e-08,0.0511172954811187,624
"293","al062017","Mean_Slope","Pasture/Hay",-1.31058325532763,0.191182391959024,0.00671689503546462,260
"294","al062017","Mean_Slope","Developed, Open Space",3.12831618795086,0.00261644212969088,0.129130913416999,69
"295","al062017","Mean_Slope","Cultivated Crops",-1.18634687158485,0.237300608020475,0.00899841522620813,157
